"arc_length","T"
0,1200
8.5e-06,1198.85
1.7e-05,1197.7
2.55e-05,1196.56
3.4e-05,1195.41
4.25e-05,1194.26
5.1e-05,1193.12
5.95e-05,1191.97
6.8e-05,1190.82
7.65e-05,1189.68
8.5e-05,1188.53
9.35e-05,1187.39
0.000102,1186.24
0.0001105,1185.1
0.000119,1183.95
0.0001275,1182.81
0.000136,1181.66
0.0001445,1180.52
0.000153,1179.37
0.0001615,1178.23
0.00017,1177.09
0.0001785,1175.94
0.000187,1174.8
0.0001955,1173.66
0.000204,1172.52
0.0002125,1171.38
0.000221,1170.23
0.0002295,1169.09
0.000238,1167.95
0.0002465,1166.81
0.000255,1165.67
0.0002635,1164.53
0.000272,1163.39
0.0002805,1162.25
0.000289,1161.11
0.0002975,1159.97
0.000306,1158.83
0.0003145,1157.7
0.000323,1156.56
0.0003315,1155.42
0.00034,1154.28
0.0003485,1153.14
0.000357,1152.01
0.0003655,1150.87
0.000374,1149.73
0.0003825,1148.6
0.000391,1147.46
0.0003995,1146.33
0.000408,1145.19
0.0004165,1144.05
0.000425,1142.92
0.0004335,1141.79
0.000442,1140.65
0.0004505,1139.52
0.000459,1138.38
0.0004675,1137.25
0.000476,1136.12
0.0004845,1134.98
0.000493,1133.85
0.0005015,1132.72
0.00051,1131.59
0.0005185,1130.45
0.000527,1129.32
0.0005355,1128.19
0.000544,1127.06
0.0005525,1125.93
0.000561,1124.8
0.0005695,1123.67
0.000578,1122.54
0.0005865,1121.41
0.000595,1120.28
0.0006035,1119.15
0.000612,1118.02
0.0006205,1116.89
0.000629,1115.77
0.0006375,1114.64
0.000646,1113.51
0.0006545,1112.38
0.000663,1111.26
0.0006715,1110.13
0.00068,1109
0.0006885,1107.88
0.000697,1106.75
0.0007055,1105.63
0.000714,1104.5
0.0007225,1103.38
0.000731,1102.25
0.0007395,1101.13
0.000748,1100
0.0007565,1098.88
0.000765,1097.75
0.0007735,1096.63
0.000782,1095.51
0.0007905,1094.39
0.000799,1093.26
0.0008075,1092.14
0.000816,1091.02
0.0008245,1089.9
0.000833,1088.78
0.0008415,1087.66
0.00085,1086.54
0.0008585,1085.42
0.000867,1084.3
0.0008755,1083.18
0.000884,1082.06
0.0008925,1080.94
0.000901,1079.82
0.0009095,1078.7
0.000918,1077.58
0.0009265,1076.47
0.000935,1075.35
0.0009435,1074.23
0.000952,1073.11
0.0009605,1072
0.000969,1070.88
0.0009775,1069.77
0.000986,1068.65
0.0009945,1067.53
0.001003,1066.42
0.0010115,1065.31
0.00102,1064.19
0.0010285,1063.08
0.001037,1061.96
0.0010455,1060.85
0.001054,1059.74
0.0010625,1058.62
0.001071,1057.51
0.0010795,1056.4
0.001088,1055.29
0.0010965,1054.17
0.001105,1053.06
0.0011135,1051.95
0.001122,1050.84
0.0011305,1049.73
0.001139,1048.62
0.0011475,1047.51
0.001156,1046.4
0.0011645,1045.29
0.001173,1044.18
0.0011815,1043.08
0.00119,1041.97
0.0011985,1040.86
0.001207,1039.75
0.0012155,1038.65
0.001224,1037.54
0.0012325,1036.43
0.001241,1035.33
0.0012495,1034.22
0.001258,1033.11
0.0012665,1032.01
0.001275,1030.9
0.0012835,1029.8
0.001292,1028.69
0.0013005,1027.59
0.001309,1026.49
0.0013175,1025.38
0.001326,1024.28
0.0013345,1023.18
0.001343,1022.08
0.0013515,1020.97
0.00136,1019.87
0.0013685,1018.77
0.001377,1017.67
0.0013855,1016.57
0.001394,1015.47
0.0014025,1014.37
0.001411,1013.27
0.0014195,1012.17
0.001428,1011.07
0.0014365,1009.97
0.001445,1008.87
0.0014535,1007.77
0.001462,1006.67
0.0014705,1005.58
0.001479,1004.48
0.0014875,1003.38
0.001496,1002.29
0.0015045,1001.19
0.001513,1000.09
0.0015215,998.999
0.00153,997.904
0.0015385,996.809
0.001547,995.714
0.0015555,994.62
0.001564,993.526
0.0015725,992.432
0.001581,991.339
0.0015895,990.246
0.001598,989.153
0.0016065,988.061
0.001615,986.969
0.0016235,985.878
0.001632,984.786
0.0016405,983.695
0.001649,982.605
0.0016575,981.515
0.001666,980.425
0.0016745,979.335
0.001683,978.246
0.0016915,977.157
0.0017,976.068
0.0017085,974.98
0.001717,973.892
0.0017255,972.804
0.001734,971.717
0.0017425,970.63
0.001751,969.544
0.0017595,968.457
0.001768,967.371
0.0017765,966.286
0.001785,965.201
0.0017935,964.116
0.001802,963.031
0.0018105,961.947
0.001819,960.863
0.0018275,959.78
0.001836,958.697
0.0018445,957.614
0.001853,956.531
0.0018615,955.449
0.00187,954.367
0.0018785,953.286
0.001887,952.205
0.0018955,951.124
0.001904,950.043
0.0019125,948.963
0.001921,947.884
0.0019295,946.804
0.001938,945.725
0.0019465,944.646
0.001955,943.568
0.0019635,942.49
0.001972,941.412
0.0019805,940.335
0.001989,939.258
0.0019975,938.181
0.002006,937.105
0.0020145,936.029
0.002023,934.954
0.0020315,933.878
0.00204,932.803
0.0020485,931.729
0.002057,930.655
0.0020655,929.581
0.002074,928.507
0.0020825,927.434
0.002091,926.361
0.0020995,925.289
0.002108,924.217
0.0021165,923.145
0.002125,922.074
0.0021335,921.003
0.002142,919.932
0.0021505,918.862
0.002159,917.792
0.0021675,916.722
0.002176,915.653
0.0021845,914.584
0.002193,913.515
0.0022015,912.447
0.00221,911.379
0.0022185,910.312
0.002227,909.244
0.0022355,908.178
0.002244,907.111
0.0022525,906.045
0.002261,904.979
0.0022695,903.914
0.002278,902.849
0.0022865,901.784
0.002295,900.72
0.0023035,899.656
0.002312,898.592
0.0023205,897.529
0.002329,896.466
0.0023375,895.404
0.002346,894.342
0.0023545,893.28
0.002363,892.218
0.0023715,891.157
0.00238,890.096
0.0023885,889.036
0.002397,887.976
0.0024055,886.916
0.002414,885.857
0.0024225,884.798
0.002431,883.74
0.0024395,882.681
0.002448,881.624
0.0024565,880.566
0.002465,879.509
0.0024735,878.452
0.002482,877.396
0.0024905,876.34
0.002499,875.284
0.0025075,874.229
0.002516,873.174
0.0025245,872.119
0.002533,871.065
0.0025415,870.011
0.00255,868.958
0.0025585,867.904
0.002567,866.852
0.0025755,865.799
0.002584,864.747
0.0025925,863.696
0.002601,862.644
0.0026095,861.593
0.002618,860.543
0.0026265,859.492
0.002635,858.443
0.0026435,857.393
0.002652,856.344
0.0026605,855.295
0.002669,854.247
0.0026775,853.199
0.002686,852.151
0.0026945,851.104
0.002703,850.057
0.0027115,849.011
0.00272,847.964
0.0027285,846.919
0.002737,845.873
0.0027455,844.828
0.002754,843.783
0.0027625,842.739
0.002771,841.695
0.0027795,840.651
0.002788,839.608
0.0027965,838.565
0.002805,837.523
0.0028135,836.481
0.002822,835.439
0.0028305,834.398
0.002839,833.357
0.0028475,832.316
0.002856,831.276
0.0028645,830.236
0.002873,829.196
0.0028815,828.157
0.00289,827.119
0.0028985,826.08
0.002907,825.042
0.0029155,824.005
0.002924,822.967
0.0029325,821.93
0.002941,820.894
0.0029495,819.858
0.002958,818.822
0.0029665,817.787
0.002975,816.752
0.0029835,815.717
0.002992,814.683
0.0030005,813.649
0.003009,812.615
0.0030175,811.582
0.003026,810.549
0.0030345,809.517
0.003043,808.485
0.0030515,807.453
0.00306,806.422
0.0030685,805.391
0.003077,804.36
0.0030855,803.33
0.003094,802.301
0.0031025,801.271
0.003111,800.242
0.0031195,799.214
0.003128,798.185
0.0031365,797.157
0.003145,796.13
0.0031535,795.103
0.003162,794.076
0.0031705,793.05
0.003179,792.024
0.0031875,790.998
0.003196,789.973
0.0032045,788.948
0.003213,787.924
0.0032215,786.899
0.00323,785.876
0.0032385,784.852
0.003247,783.829
0.0032555,782.807
0.003264,781.785
0.0032725,780.763
0.003281,779.741
0.0032895,778.72
0.003298,777.7
0.0033065,776.679
0.003315,775.659
0.0033235,774.64
0.003332,773.621
0.0033405,772.602
0.003349,771.584
0.0033575,770.566
0.003366,769.548
0.0033745,768.531
0.003383,767.514
0.0033915,766.497
0.0034,765.481
0.0034085,764.466
0.003417,763.45
0.0034255,762.435
0.003434,761.421
0.0034425,760.407
0.003451,759.393
0.0034595,758.379
0.003468,757.366
0.0034765,756.354
0.003485,755.341
0.0034935,754.33
0.003502,753.318
0.0035105,752.307
0.003519,751.296
0.0035275,750.286
0.003536,749.276
0.0035445,748.266
0.003553,747.257
0.0035615,746.248
0.00357,745.24
0.0035785,744.232
0.003587,743.224
0.0035955,742.217
0.003604,741.21
0.0036125,740.204
0.003621,739.198
0.0036295,738.192
0.003638,737.187
0.0036465,736.182
0.003655,735.177
0.0036635,734.173
0.003672,733.169
0.0036805,732.166
0.003689,731.163
0.0036975,730.16
0.003706,729.158
0.0037145,728.156
0.003723,727.154
0.0037315,726.153
0.00374,725.153
0.0037485,724.152
0.003757,723.152
0.0037655,722.153
0.003774,721.154
0.0037825,720.155
0.003791,719.157
0.0037995,718.159
0.003808,717.161
0.0038165,716.164
0.003825,715.167
0.0038335,714.171
0.003842,713.175
0.0038505,712.179
0.003859,711.184
0.0038675,710.189
0.003876,709.194
0.0038845,708.2
0.003893,707.206
0.0039015,706.213
0.00391,705.22
0.0039185,704.228
0.003927,703.235
0.0039355,702.244
0.003944,701.252
0.0039525,700.261
0.003961,699.271
0.0039695,698.281
0.003978,697.291
0.0039865,696.301
0.003995,695.312
0.0040035,694.324
0.004012,693.335
0.0040205,692.348
0.004029,691.36
0.0040375,690.373
0.004046,689.386
0.0040545,688.4
0.004063,687.414
0.0040715,686.429
0.00408,685.443
0.0040885,684.459
0.004097,683.474
0.0041055,682.49
0.004114,681.507
0.0041225,680.524
0.004131,679.541
0.0041395,678.558
0.004148,677.576
0.0041565,676.595
0.004165,675.614
0.0041735,674.633
0.004182,673.652
0.0041905,672.672
0.004199,671.693
0.0042075,670.713
0.004216,669.734
0.0042245,668.756
0.004233,667.778
0.0042415,666.8
0.00425,665.823
0.0042585,664.846
0.004267,663.87
0.0042755,662.893
0.004284,661.918
0.0042925,660.942
0.004301,659.967
0.0043095,658.993
0.004318,658.019
0.0043265,657.045
0.004335,656.071
0.0043435,655.098
0.004352,654.126
0.0043605,653.154
0.004369,652.182
0.0043775,651.21
0.004386,650.239
0.0043945,649.269
0.004403,648.298
0.0044115,647.329
0.00442,646.359
0.0044285,645.39
0.004437,644.421
0.0044455,643.453
0.004454,642.485
0.0044625,641.518
0.004471,640.551
0.0044795,639.584
0.004488,638.618
0.0044965,637.652
0.004505,636.686
0.0045135,635.721
0.004522,634.756
0.0045305,633.792
0.004539,632.828
0.0045475,631.864
0.004556,630.901
0.0045645,629.938
0.004573,628.976
0.0045815,628.014
0.00459,627.052
0.0045985,626.091
0.004607,625.13
0.0046155,624.17
0.004624,623.21
0.0046325,622.25
0.004641,621.291
0.0046495,620.332
0.004658,619.374
0.0046665,618.416
0.004675,617.458
0.0046835,616.501
0.004692,615.544
0.0047005,614.587
0.004709,613.631
0.0047175,612.676
0.004726,611.72
0.0047345,610.765
0.004743,609.811
0.0047515,608.857
0.00476,607.903
0.0047685,606.95
0.004777,605.997
0.0047855,605.044
0.004794,604.092
0.0048025,603.14
0.004811,602.189
0.0048195,601.238
0.004828,600.287
0.0048365,599.337
0.004845,598.387
0.0048535,597.438
0.004862,596.489
0.0048705,595.54
0.004879,594.592
0.0048875,593.644
0.004896,592.697
0.0049045,591.75
0.004913,590.803
0.0049215,589.857
0.00493,588.911
0.0049385,587.965
0.004947,587.02
0.0049555,586.076
0.004964,585.131
0.0049725,584.188
0.004981,583.244
0.0049895,582.301
0.004998,581.358
0.0050065,580.416
0.005015,579.474
0.0050235,578.532
0.005032,577.591
0.0050405,576.65
0.005049,575.71
0.0050575,574.77
0.005066,573.831
0.0050745,572.891
0.005083,571.953
0.0050915,571.014
0.0051,570.076
0.0051085,569.139
0.005117,568.201
0.0051255,567.265
0.005134,566.328
0.0051425,565.392
0.005151,564.456
0.0051595,563.521
0.005168,562.586
0.0051765,561.652
0.005185,560.718
0.0051935,559.784
0.005202,558.851
0.0052105,557.918
0.005219,556.986
0.0052275,556.053
0.005236,555.122
0.0052445,554.19
0.005253,553.26
0.0052615,552.329
0.00527,551.399
0.0052785,550.469
0.005287,549.54
0.0052955,548.611
0.005304,547.682
0.0053125,546.754
0.005321,545.826
0.0053295,544.899
0.005338,543.972
0.0053465,543.045
0.005355,542.119
0.0053635,541.193
0.005372,540.268
0.0053805,539.343
0.005389,538.418
0.0053975,537.494
0.005406,536.57
0.0054145,535.646
0.005423,534.723
0.0054315,533.801
0.00544,532.878
0.0054485,531.957
0.005457,531.035
0.0054655,530.114
0.005474,529.193
0.0054825,528.273
0.005491,527.353
0.0054995,526.433
0.005508,525.514
0.0055165,524.595
0.005525,523.677
0.0055335,522.759
0.005542,521.841
0.0055505,520.924
0.005559,520.007
0.0055675,519.091
0.005576,518.175
0.0055845,517.259
0.005593,516.344
0.0056015,515.429
0.00561,514.515
0.0056185,513.601
0.005627,512.687
0.0056355,511.774
0.005644,510.861
0.0056525,509.948
0.005661,509.036
0.0056695,508.124
0.005678,507.213
0.0056865,506.302
0.005695,505.391
0.0057035,504.481
0.005712,503.572
0.0057205,502.662
0.005729,501.753
0.0057375,500.844
0.005746,499.936
0.0057545,499.028
0.005763,498.121
0.0057715,497.214
0.00578,496.307
0.0057885,495.401
0.005797,494.495
0.0058055,493.59
0.005814,492.684
0.0058225,491.78
0.005831,490.875
0.0058395,489.971
0.005848,489.068
0.0058565,488.165
0.005865,487.262
0.0058735,486.36
0.005882,485.458
0.0058905,484.556
0.005899,483.655
0.0059075,482.754
0.005916,481.853
0.0059245,480.953
0.005933,480.054
0.0059415,479.154
0.00595,478.256
0.0059585,477.357
0.005967,476.459
0.0059755,475.561
0.005984,474.664
0.0059925,473.767
0.006001,472.927
0.0060095,472.6
0.006018,472.272
0.0060265,471.945
0.006035,471.618
0.0060435,471.29
0.006052,470.963
0.0060605,470.636
0.006069,470.309
0.0060775,469.981
0.006086,469.654
0.0060945,469.327
0.006103,469
0.0061115,468.673
0.00612,468.345
0.0061285,468.018
0.006137,467.691
0.0061455,467.364
0.006154,467.037
0.0061625,466.71
0.006171,466.383
0.0061795,466.056
0.006188,465.729
0.0061965,465.402
0.006205,465.075
0.0062135,464.748
0.006222,464.421
0.0062305,464.094
0.006239,463.767
0.0062475,463.441
0.006256,463.114
0.0062645,462.787
0.006273,462.46
0.0062815,462.133
0.00629,461.807
0.0062985,461.48
0.006307,461.153
0.0063155,460.827
0.006324,460.5
0.0063325,460.173
0.006341,459.847
0.0063495,459.52
0.006358,459.194
0.0063665,458.867
0.006375,458.54
0.0063835,458.214
0.006392,457.887
0.0064005,457.561
0.006409,457.234
0.0064175,456.908
0.006426,456.582
0.0064345,456.255
0.006443,455.929
0.0064515,455.602
0.00646,455.276
0.0064685,454.95
0.006477,454.623
0.0064855,454.297
0.006494,453.971
0.0065025,453.645
0.006511,453.318
0.0065195,452.992
0.006528,452.666
0.0065365,452.34
0.006545,452.014
0.0065535,451.688
0.006562,451.362
0.0065705,451.035
0.006579,450.709
0.0065875,450.383
0.006596,450.057
0.0066045,449.731
0.006613,449.405
0.0066215,449.079
0.00663,448.753
0.0066385,448.427
0.006647,448.102
0.0066555,447.776
0.006664,447.45
0.0066725,447.124
0.006681,446.798
0.0066895,446.472
0.006698,446.146
0.0067065,445.821
0.006715,445.495
0.0067235,445.169
0.006732,444.844
0.0067405,444.518
0.006749,444.192
0.0067575,443.867
0.006766,443.541
0.0067745,443.215
0.006783,442.89
0.0067915,442.564
0.0068,442.239
0.0068085,441.913
0.006817,441.587
0.0068255,441.262
0.006834,440.937
0.0068425,440.611
0.006851,440.286
0.0068595,439.96
0.006868,439.635
0.0068765,439.309
0.006885,438.984
0.0068935,438.659
0.006902,438.333
0.0069105,438.008
0.006919,437.683
0.0069275,437.358
0.006936,437.032
0.0069445,436.707
0.006953,436.382
0.0069615,436.057
0.00697,435.732
0.0069785,435.406
0.006987,435.081
0.0069955,434.756
0.007004,434.419
0.0070125,434.07
0.007021,433.721
0.0070295,433.372
0.007038,433.022
0.0070465,432.673
0.007055,432.324
0.0070635,431.975
0.007072,431.626
0.0070805,431.277
0.007089,430.928
0.0070975,430.579
0.007106,430.229
0.0071145,429.88
0.007123,429.531
0.0071315,429.182
0.00714,428.833
0.0071485,428.484
0.007157,428.135
0.0071655,427.786
0.007174,427.436
0.0071825,427.087
0.007191,426.738
0.0071995,426.389
0.007208,426.04
0.0072165,425.691
0.007225,425.342
0.0072335,424.993
0.007242,424.644
0.0072505,424.294
0.007259,423.945
0.0072675,423.596
0.007276,423.247
0.0072845,422.898
0.007293,422.549
0.0073015,422.2
0.00731,421.851
0.0073185,421.502
0.007327,421.153
0.0073355,420.804
0.007344,420.455
0.0073525,420.105
0.007361,419.756
0.0073695,419.407
0.007378,419.058
0.0073865,418.709
0.007395,418.36
0.0074035,418.011
0.007412,417.662
0.0074205,417.313
0.007429,416.964
0.0074375,416.615
0.007446,416.266
0.0074545,415.917
0.007463,415.568
0.0074715,415.219
0.00748,414.87
0.0074885,414.521
0.007497,414.172
0.0075055,413.823
0.007514,413.474
0.0075225,413.124
0.007531,412.775
0.0075395,412.426
0.007548,412.077
0.0075565,411.728
0.007565,411.379
0.0075735,411.03
0.007582,410.681
0.0075905,410.332
0.007599,409.983
0.0076075,409.634
0.007616,409.285
0.0076245,408.936
0.007633,408.587
0.0076415,408.238
0.00765,407.889
0.0076585,407.54
0.007667,407.191
0.0076755,406.842
0.007684,406.493
0.0076925,406.144
0.007701,405.795
0.0077095,405.446
0.007718,405.097
0.0077265,404.748
0.007735,404.399
0.0077435,404.051
0.007752,403.702
0.0077605,403.353
0.007769,403.004
0.0077775,402.655
0.007786,402.306
0.0077945,401.957
0.007803,401.608
0.0078115,401.259
0.00782,400.91
0.0078285,400.561
0.007837,400.212
0.0078455,399.863
0.007854,399.514
0.0078625,399.165
0.007871,398.816
0.0078795,398.467
0.007888,398.118
0.0078965,397.769
0.007905,397.42
0.0079135,397.072
0.007922,396.723
0.0079305,396.374
0.007939,396.025
0.0079475,395.676
0.007956,395.327
0.0079645,394.978
0.007973,394.629
0.0079815,394.28
0.00799,393.931
0.0079985,393.582
0.008007,393.233
0.0080155,392.885
0.008024,392.536
0.0080325,392.187
0.008041,391.838
0.0080495,391.489
0.008058,391.14
0.0080665,390.791
0.008075,390.442
0.0080835,390.093
0.008092,389.744
0.0081005,389.396
0.008109,389.047
0.0081175,388.698
0.008126,388.349
0.0081345,388
0.008143,387.651
0.0081515,387.302
0.00816,386.953
0.0081685,386.605
0.008177,386.256
0.0081855,385.907
0.008194,385.558
0.0082025,385.209
0.008211,384.86
0.0082195,384.511
0.008228,384.163
0.0082365,383.814
0.008245,383.465
0.0082535,383.116
0.008262,382.767
0.0082705,382.418
0.008279,382.069
0.0082875,381.721
0.008296,381.372
0.0083045,381.023
0.008313,380.674
0.0083215,380.325
0.00833,379.976
0.0083385,379.628
0.008347,379.279
0.0083555,378.93
0.008364,378.581
0.0083725,378.232
0.008381,377.883
0.0083895,377.535
0.008398,377.186
0.0084065,376.837
0.008415,376.488
0.0084235,376.139
0.008432,375.79
0.0084405,375.442
0.008449,375.093
0.0084575,374.744
0.008466,374.395
0.0084745,374.046
0.008483,373.698
0.0084915,373.349
0.0085,373
